,Atl_croaker_(nibea98),Bay_anchovy,Black_drum_or_Spot,Black_sea_bass,Brd_striped_anchovy,Nor_sea_robin,Scup,Smallmouth_flounder,Southern_kingfish(nibea95),Str_sea_robin,Summ_flounder,Summ_flounder99a,Weakfish_Cyn,Windowpane_flounder,Am_butterfish,Giant_trevally99,Hogchoker_trinectes,Nor_kingfish,Red_White_or_Spotted_hake,Spanish_mackerel,Tautog,Thread_herring,Atl_menhaden_LS16_or_river_herrings,Atl_or_nor_sand_lance,Bluefish,Silver_anchovy,Seaboard_goby,Nor_puffer,Silver_perch(nibea93),Nor_sennet95,Str_cusk_eel,Longitude,Latitude,station,Surface_Temp,Bottom_Temp,Surface_Salinity,Bottom_Salinity,temp_strat,salt_strat
11,0.23903662,0.062485444,0.079226775,0.125847684,0.005205979,0.127847876,0.060457852,0.016864631,0.0,0.001671393,0.019125122,0.002575589,0.022152809,0.073924897,0.062649843,0.0,0.0,0.005000479,0.011069555,0.0,0.0,0.02918088,0.042565725,0.0,0.005671777,0.004068883,0.000931596,0.0,0.000369898,0.0,0.000657597,-74.08063333,39.80443333,73.0,22.61266193988416,20.00859970438868,31.654833843239444,31.97556904194848,2.60406223549548,0.3207351987090341
12,0.142499008,0.118619918,0.092143707,0.026223713,0.0,0.274248819,0.060455218,0.001298561,0.089438372,0.002975868,0.021696786,0.0,0.025087472,0.01163294,0.075749378,0.003084082,0.0,0.005446741,0.010478664,0.0,0.001695343,0.019045558,0.007863507,0.0,0.000739458,0.0,0.004941745,0.0,0.0,0.0,0.0,-74.05485,39.77886667,74.0,22.61266193988416,20.00859970438868,31.654833843239444,31.97556904194848,2.60406223549548,0.3207351987090341
14,0.036179112,0.058058558,0.142274783,0.007834561,0.127932652,0.023843394,0.010170067,0.004214527,0.160990679,0.004012824,0.054746385,0.014756152,0.117454723,0.036805452,0.084407312,0.006486337,0.004893947,0.000456485,0.004724092,0.0,0.003354636,0.004034056,0.016210535,0.000403406,0.013153146,0.0,0.001687934,0.002335506,0.013630863,0.00504257,0.004384382,-74.12418333,39.6256,76.0,21.799726086361044,18.631058193896035,31.90941161849499,32.1059367015115,3.1686678924650096,0.19652508301651395
15,0.02949818,0.090238678,0.114808789,0.010265835,0.048227183,0.021479825,0.006391272,0.005759168,0.14593405,0.000573576,0.032518232,0.024394526,0.130131454,0.077514661,0.20185183,0.001193974,0.007725714,0.001720727,0.000550164,0.0,0.000339463,0.0,0.037048309,0.0,0.005653818,0.0,0.0,0.002750822,0.000632104,0.000772571,0.000632104,-74.36286667,39.3346,77.0,20.923497152057145,17.992498148916997,31.809647392366653,31.90934116991131,2.9309990031401476,0.09969377754465825
16,0.058151129,0.065593535,0.146958193,0.035237381,0.137241357,0.042334387,0.195183942,0.012382287,0.030251882,0.000430122,0.025892013,0.006354068,0.102981524,0.088872234,0.006816775,0.0,0.001596663,0.007924664,0.001101372,0.0,0.0,0.021167193,0.0,0.0,0.008837043,0.001524976,0.001368569,0.0,0.0,0.000984066,0.0,-74.4364,39.32723333,79.0,20.77024932088964,18.09823785715761,31.86690651605221,31.97616826247284,2.67201146373203,0.10926174642062847
17,0.031922429,0.031439255,0.068187933,0.089782517,0.10501897,0.154972574,0.079465653,0.023686508,0.035172872,0.0,0.051337239,0.004085017,0.067122754,0.113150569,0.04589055,0.0,0.007099364,0.004359547,0.001866809,0.001405597,0.002295077,0.004447397,0.002251152,0.0,0.004634078,0.054527286,0.001603259,0.006555793,0.000362381,0.0,0.002888063,-74.44236667,39.30743333,80.0,20.77024932088964,18.09823785715761,31.86690651605221,31.97616826247284,2.67201146373203,0.10926174642062847
18,0.089165334,0.070771949,0.0426128,0.038123891,0.028175067,0.097331328,0.048168223,0.026989168,0.078555908,0.0,0.004035243,0.0,0.036651465,0.027259776,0.020446822,0.0,0.0,0.0,0.006685609,0.0,0.0,0.0,0.313141202,0.0,0.054153435,0.005292774,0.0,0.00980556,0.0,0.0,0.0,-74.96436667,38.82961667,83.0,21.672686800109698,20.89837028504669,31.659079940035408,32.05461962387676,0.7743165150630098,0.39553968384135274
19,0.085654416,0.011567939,0.084429688,0.040626525,0.04772612,0.121621234,0.109096476,0.011606212,0.128405079,0.000554955,0.044893937,0.010151847,0.015127305,0.141829246,0.039143456,0.0,0.08378862,0.0,0.0,0.0,0.0,0.008640073,0.0,0.0,0.004736253,0.002813047,0.0,0.003128797,0.0,0.0,0.0,-74.87185,38.7464,85.0,21.550987079238855,19.116610502689017,31.871486218274274,32.2402671165432,2.4343765765498375,0.3687808982689269
20,0.053971433,0.067068993,0.087202867,0.123385864,0.055183682,0.274811574,0.066937227,0.007378907,0.023981447,0.0,0.056106045,0.004190165,0.025404522,0.053022716,0.03726348,0.0,0.004875349,0.007721499,0.001712961,0.0,0.001607548,0.001818373,0.005929479,0.00463817,0.003452274,0.005639593,0.0,0.003979339,0.0,0.003136035,0.0,-74.86318333,38.91356667,87.0,21.909453724608852,21.547583842680595,31.24355564079914,31.29981462130505,0.3618698819282571,0.05625898050590905
21,0.022906573,0.07772507,0.025620862,0.015879861,0.0,0.703178509,0.041247051,0.045483372,0.01714822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039522082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.74106667,38.89343333,88.0,21.553500271906287,19.14765266059538,31.689536327747653,31.83460432928915,2.4058476113109073,0.14506800154149602
22,0.045996593,0.020180841,0.109815227,0.103131962,0.01716682,0.303498886,0.08295112,0.0,0.108373739,0.005372821,0.031450662,0.0,0.028698729,0.063294457,0.02162233,0.0,0.018477264,0.002751933,0.001310444,0.0,0.0,0.019787708,0.0,0.003276111,0.007731621,0.0,0.0,0.003014022,0.0,0.0,0.002096711,-74.68055,38.75103333,89.0,22.199548381303124,15.54157808780571,30.710694350576045,32.052754430289085,6.657970293497414,1.3420600797130398
23,0.147357471,0.033101478,0.074028071,0.028071047,0.049605639,0.126987331,0.0,0.006381195,0.066560055,0.0,0.0,0.007312756,0.0,0.036330891,0.012094771,0.0,0.011442678,0.0,0.0,0.0,0.0,0.001956279,0.196419699,0.008958514,0.023723761,0.0,0.0,0.0,0.008632468,0.0,0.02005962,-74.46258333,38.9141,91.0,22.052166295183923,15.057787152177049,31.538183391942756,32.276213407576364,6.994379143006874,0.7380300156336084
24,0.020967138,0.034878028,0.161804096,0.012557242,0.142219406,0.053829095,0.020391118,0.016819792,0.147086777,0.0,0.033322773,0.0,0.035943665,0.025546499,0.042020679,0.002419285,0.021139944,0.008409896,0.003456122,0.0,0.0,0.003312117,0.180639959,0.0,0.012902854,0.0,0.0,0.0,0.008611503,0.0,0.0,-74.66795,38.93023333,92.0,21.763806832411024,17.99883164509254,31.57556998019546,31.871129313774084,3.764975187318484,0.2955593335786233
25,0.087133483,0.044501204,0.073490323,0.046577789,0.173540161,0.082357339,0.020869674,0.024877482,0.052246864,0.0,0.020703547,0.007558767,0.048467481,0.028719163,0.194991278,0.0,0.0,0.009448459,0.002782623,0.0,0.002927984,0.017713265,0.005855968,0.0,0.026061135,0.027286319,0.0,0.0,0.001889692,0.0,0.0,-74.8287,38.95468333,93.0,21.207850645798825,20.596614876599332,31.790128315802356,31.808031894724696,0.6112357691994923,0.017903578922339847
26,0.021997221,0.065793131,0.030653167,0.041254715,0.137145126,0.336827477,0.030375223,0.01421481,0.066587254,0.005122096,0.035417907,0.010363311,0.114472901,0.015644233,0.007980941,0.007504467,0.015683939,0.014055986,0.0,0.0,0.005320627,0.00591622,0.0,0.0,0.011117729,0.0,0.0,0.0,0.0,0.0,0.0,-74.67695,39.14103333,94.0,20.492487494528092,18.477310266300975,31.893909019013233,31.97853762307728,2.0151772282271168,0.08462860406404715
27,0.034771382,0.052802636,0.019055251,0.033435733,0.046079872,0.520724812,0.02564445,0.021993678,0.053114287,0.0,0.028627399,0.008637193,0.039089978,0.013712657,0.008236499,0.0,0.0,0.0,0.047771693,0.012198923,0.0,0.0,0.0,0.0,0.0,0.00440764,0.0,0.0,0.0,0.0,0.0,-74.4973,39.16583333,95.0,20.549351738833224,16.28604209301482,31.850125342194804,32.11543974557085,4.263309645818403,0.26531440337604906
