,Atl_croaker_(nibea98),Bay_anchovy,Black_drum_or_Spot,Black_sea_bass,Brd_striped_anchovy,Nor_sea_robin,Scup,Smallmouth_flounder,Southern_kingfish(nibea95),Str_sea_robin,Summ_flounder,Summ_flounder99a,Weakfish_Cyn,Windowpane_flounder,Am_butterfish,Hogchoker_trinectes,Nor_kingfish,Red_White_or_Spotted_hake,Tautog,Atl_menhaden_LS16_or_river_herrings,Atl_or_nor_sand_lance,Bluefish,Silver_perch(nibea93),Sturgeon,Fourspot_flounder,Atl_silverside,Gulf_stream_flounder,Rough_scad,Silver_hake,Winter_or_Yellowtail_flounder,White_perch,Longitude,Latitude,station,Surface_Temp,Bottom_Temp,Surface_Salinity,Bottom_Salinity,temp_strat,salt_strat
11,0.023348819,0.064993534,0.011327171,0.006489774,0.047224484,0.020379329,0.44822549,0.006370037,0.048828967,0.0,0.010010058,0.009124,0.119067005,0.035298625,0.030245701,0.0,0.014368504,0.02708463,0.002993438,0.004190814,0.011446908,0.037717324,0.003999234,0.00950716,0.0,0.0,0.004190814,0.0,0.0,0.0,0.0,-74.6343,38.77185,49.0,16.047088580633687,15.91170254381111,31.446850324812083,31.506304333782648,0.13538603682257744,0.0594540089705653
12,0.001279431,0.002376086,0.001262815,0.002808102,0.014389446,0.069969925,0.006197763,0.0,0.002160078,0.000199392,0.002160078,0.0,0.00832461,0.002425934,0.747902232,0.000448632,0.001977303,0.036173006,0.000199392,0.0,0.000847415,0.001046807,0.000481864,0.001179735,0.02808102,0.0,0.064320489,0.0,0.003672133,0.0,0.0,-74.7775,38.75758333,50.0,16.37959458586037,16.341865472914677,31.21482333421589,31.232898600168618,0.037729112945694254,0.018075265952727904
13,0.002112764,0.016322134,0.001822776,0.006876838,0.088225141,0.013394645,0.051631523,0.007663946,0.001822776,0.004308381,0.020395763,0.0,0.009997652,0.055636108,0.556002044,0.000138089,0.003231285,0.035654611,0.0,0.001298038,0.000524739,0.001974674,0.000469503,0.069804052,0.031139097,0.0,0.015548835,0.0,0.003769833,8.29e-05,0.0,-74.8424,38.8185,51.0,16.665507236756802,16.640136338403725,31.097686211713224,31.108402777229397,0.02537089835307782,0.010716565516172949
14,0.004703116,0.076585965,0.008016675,0.002832558,0.037518038,0.020148576,0.112073112,0.033830367,0.032708033,0.001122334,0.006199562,0.0,0.036128481,0.018759019,0.51461707,0.001977446,0.002191224,0.026187804,0.000694778,0.008497675,0.0,0.004382449,0.002405002,0.017048795,0.016567794,0.003473892,0.008016675,0.0,0.00154989,0.000481,0.0,-74.80075,38.9693,52.0,17.095384888555216,17.06633998018237,30.85704501850505,30.857615825499497,0.029044908372846123,0.0005708069944461158
15,0.00066661,0.372174482,0.010823324,0.001721066,0.014895706,0.005478323,0.043317537,0.032748736,0.073739198,0.001539263,0.005126838,0.0,0.254693541,0.044626517,0.071400002,0.003611815,0.0,0.033572909,0.0,0.005454083,0.012798914,0.005175318,0.004775352,0.00063025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.58583333,38.93028333,53.0,16.510688807864007,16.497832821039868,31.101769688738543,31.126710206228093,0.01285598682413891,0.02494051748955073
16,0.002921922,0.292593708,0.004371731,0.010739737,0.007828967,0.134676079,0.023219245,0.012178393,0.092620474,0.004784369,0.020977617,0.0,0.145884216,0.023453444,0.11570589,0.0,0.008040862,0.037081647,0.0,0.001394047,0.01934937,0.018947885,0.001561332,0.003970245,0.007025996,0.0,0.0,0.003368017,0.0,0.0,0.006724882,-74.40306667,38.92605,55.0,15.900737454224892,13.462701074705242,31.578259414110228,31.76298123981323,2.43803637951965,0.18472182570300077
17,0.0,0.167316067,0.005367102,0.003896402,0.02440981,0.229811292,0.021468409,0.011249904,0.026950111,0.013962106,0.052467721,0.0,0.15003056,0.022576209,0.155435862,0.0,0.008155703,0.041370617,0.0,0.011555505,0.014305906,0.004431202,0.011058904,0.0,0.0,0.003266101,0.015833906,0.0,0.0,0.0,0.0,-74.38585,39.06428333,56.0,16.058849319319044,15.535649309183222,31.266647105764314,31.200626932567044,0.5232000101358221,0.06602017319726983
18,0.013723714,0.072812475,0.0,0.032566748,0.010081122,0.235665905,0.003504765,0.0,0.105438293,0.015200441,0.058399622,0.0,0.053713476,0.014865716,0.098231866,0.0,0.041761834,0.014255336,0.0,0.047176498,0.0,0.006025045,0.001791762,0.010927778,0.159269906,0.0,0.0,0.0,0.001653934,0.0,0.002933764,-74.397,39.17718333,57.0,16.326188401096,16.135144156160923,30.890114491269426,30.926397413614747,0.1910442449350782,0.03628292234532182
19,0.022667646,0.053888131,0.011788575,0.008272991,0.084968692,0.06508203,0.009095043,0.024783993,0.039983209,0.013904922,0.012680589,0.01233078,0.063630321,0.020044076,0.130426418,0.0,0.008552839,0.003585546,0.006751321,0.046839472,0.289782069,0.004914821,0.0,0.008640291,0.03666002,0.0,0.0,0.0,0.006873754,0.0,0.010039528,-74.30926667,39.3605,58.0,16.785505093295868,16.74374856799085,30.114706761044378,30.149047507472137,0.0417565253050185,0.03434074642775897
20,0.009867257,0.04600295,0.076637168,0.012359882,0.079247788,0.098525074,0.025457227,0.009926254,0.03379056,0.010088496,0.016740413,0.0,0.054351032,0.13520649,0.303938053,0.0,0.010383481,0.024823009,0.0,0.00879056,0.000811209,0.005589971,0.007581121,0.0,0.0,0.002861357,0.02600295,0.0,0.0,0.0,0.001017699,-74.31916667,39.40531667,59.0,16.785505093295868,16.74374856799085,30.114706761044378,30.149047507472137,0.0417565253050185,0.03434074642775897
21,0.0,0.163571245,0.013382517,0.019923651,0.055310114,0.192266449,0.026507678,0.013532641,0.045423351,0.0,0.0,0.0,0.030818392,0.015548597,0.244338166,0.0,0.020331132,0.043600412,0.022926139,0.009179034,0.014347602,0.0,0.0,0.0,0.020545595,0.0,0.048447285,0.0,0.0,0.0,0.0,-74.06795,39.64501667,60.0,16.2453868428708,16.130036489140725,29.684671260599227,29.70928032191792,0.11535035373007574,0.024609061318692227
23,0.015757313,0.008530041,0.019231366,0.003380998,0.26775024,0.108936381,0.052545054,0.073482428,0.003753218,0.011011508,0.070380595,0.003877291,0.036880797,0.023915134,0.1052452,0.0,0.015850368,0.093799435,0.00204721,0.010794379,0.001054623,0.022333199,0.00446664,0.001923137,0.0,0.0,0.0,0.037656255,0.0,0.00539719,0.0,-74.05975,39.97141667,63.0,17.140701533733285,12.457034098924488,28.7209839609375,30.790281905883052,4.683667434808797,2.0692979449455535
24,0.0,0.026054782,0.010714836,0.0,0.055218665,0.158744026,0.049154633,0.053497096,0.009147438,0.013001696,0.070430135,0.007914076,0.057043014,0.019810884,0.202117272,0.0,0.021840793,0.094403618,0.0,0.038825222,0.015391336,0.007939771,0.001978519,0.0,0.016727478,0.0,0.038671052,0.009892595,0.0,0.016727478,0.0,-73.95026667,40.17223333,65.0,16.358445020614106,10.238074813912482,27.76906605928707,30.53037207844359,6.120370206701624,2.761306019156521
25,0.005474891,0.028415003,0.008820657,0.025485456,0.015192021,0.173387549,0.023260281,0.006323339,0.000816431,0.034834393,0.067923864,0.002289209,0.015336097,0.071573791,0.049562169,0.0,0.028511054,0.021787504,0.012358525,0.323610867,0.001937023,0.016792867,0.003553876,0.00206509,0.046632622,0.0,0.0,0.003137657,0.0,0.002945555,0.0,-73.85653333,40.1846,66.0,16.19790554705824,7.932347749192841,28.58232061854682,31.574247375315572,8.2655577978654,2.991926756768752
26,0.0,0.058241184,0.0,0.050919008,0.021069934,0.204479229,0.04154214,0.002185445,0.001475643,0.008592349,0.114390317,0.009376868,0.011543634,0.033360729,0.161312014,0.0,0.019220711,0.048453377,0.021051255,0.064928273,0.0,0.010871189,0.0,0.0,0.031231321,0.0,0.008144053,0.013392857,0.0,0.009694411,0.002222803,-73.98136667,40.25986667,67.0,16.49550347938721,9.722368221455731,27.070849295611822,30.573956764441135,6.773135257931479,3.503107468829313
27,0.007663076,0.010936501,0.006358722,0.027228375,0.008942345,0.073721044,0.017633853,0.003637139,0.006233304,0.013507582,0.082136631,0.007512573,0.021973336,0.013658084,0.308078211,0.0,0.002370411,0.167170431,0.010673122,0.023089561,0.0,0.000978265,0.001341979,0.001128767,0.03684798,0.0,0.11054394,0.002257535,0.00864134,0.025735894,0.0,-73.84106667,40.43891667,68.0,17.06172587678748,10.388553333669073,25.552693198881528,31.26126403393778,6.673172543118408,5.708570835056253
28,0.014208067,0.073757986,0.010934172,0.00678618,0.009948826,0.046597375,0.202139156,0.012300944,0.008566161,0.012237373,0.022345126,0.003973173,0.023584756,0.009869362,0.114252567,0.0,0.010997743,0.077715267,0.118734306,0.112552049,0.0,0.00726296,9.54e-05,0.009297225,0.018896411,0.0,0.042655987,0.0,0.006802072,0.010568641,0.0,-73.92811667,40.41925,69.0,17.040043540609428,11.195775776070565,26.10976632317117,31.022500403340043,5.844267764538863,4.912734080168875
